Date,Open,High,Low,Close,Adj Close,Volume
2014.2.1,585.789978,610.469482,560.365356,603.897217,603.897217,81618000
2014.3.1,599.476013,609.530579,549.896362,555.445007,555.445007,71857600
2014.4.1,555.654724,601.522522,500.050446,523.779968,523.779968,67539600
2014.5.1,524.227539,564.734802,500.547729,556.828247,556.828247,36727500
2014.6.1,557.63385,579.264893,535.803833,572.134094,572.134094,38105800
2014.7.1,575.157471,596.37085,561.920288,568.474243,568.474243,34704900
2014.8.1,567.280762,584.128174,556.937683,568.474243,568.474243,27734000
2014.9.1,568.722839,593.21814,565.102783,574.202698,574.202698,33608300
2014.10.1,572.860107,577.822815,505.321472,556.022705,556.022705,52305400
2014.11.1,552.46228,554.849121,527.181274,538.867004,538.867004,28598100
2014.12.1,535.953064,538.449341,486.325928,523.521423,523.521423,45989600
2015.1.1,526.114746,539.202759,484.891632,531.594604,531.594604,50208900
2015.2.1,528.819885,561.619385,515.712036,555.343933,555.343933,32578800
2015.3.1,557.46228,574.747131,541.241516,545.000854,545.000854,38446900
2015.4.1,545.597534,568.01416,518.158569,537.340027,537.340027,42364400
2015.5.1,538.429993,544.190002,521.085022,532.109985,532.109985,31848600
2015.6.1,536.789978,543.73999,520.5,520.51001,520.51001,34334600
2015.7.1,524.72998,678.640015,515.179993,625.609985,625.609985,63319000
2015.8.1,625.340027,674.900024,565.049988,637.609985,637.609985,61388900
2015.9.1,602.359985,650.900024,589.380005,608.419983,608.419983,47889100
2015.10.1,608.369995,730,599.849976,710.809998,710.809998,49428500
2015.11.1,711.059998,762.708008,705.849976,742.599976,742.599976,33932700
2015.12.1,747.109985,779.97998,724.169983,758.880005,758.880005,43096800
2016.1.1,743,752,673.26001,742.950012,742.950012,46552500
2016.2.1,750.460022,789.869995,663.059998,697.77002,697.77002,64329300
2016.3.1,703.619995,757.880005,685.340027,744.950012,744.950012,41735400
2016.4.1,738.599976,769.900024,689,693.01001,693.01001,42140100
2016.5.1,697.630005,739.72998,689.01001,735.719971,735.719971,34941900
2016.6.1,734.530029,737.210022,663.283997,692.099976,692.099976,39358300
2016.7.1,692.200012,778.549988,688.215027,768.789978,768.789978,29898300
2016.8.1,761.090027,789.75,761.090027,767.049988,767.049988,26373900
2016.9.1,769.25,789.849976,754,777.289978,777.289978,27540000
2016.10.1,774.25,816.679993,769.5,784.539978,784.539978,33881500
2016.11.1,782.890015,795.632996,727.539978,758.039978,758.039978,42595000
2016.12.1,757.440002,804.380005,737.025024,771.820007,771.820007,32079700
2017.1.1,778.809998,841.950012,775.799988,796.789978,796.789978,33191600
2017.2.1,799.679993,833.450012,791.190002,823.210022,823.210022,25682500
2017.3.1,828.849976,853.5,803.369995,829.559998,829.559998,33835100
2017.4.1,829.219971,916.849976,817.02002,905.960022,905.960022,25161900
2017.5.1,901.940002,979.27002,901.450012,964.859985,964.859985,32180100
2017.6.1,968.950012,988.25,908.309998,908.72998,908.72998,43577200
2017.7.1,912.179993,986.200012,894.789978,930.5,930.5,36679200
2017.8.1,932.380005,941.97998,903.400024,939.330017,939.330017,27958000
2017.9.1,941.130005,959.786011,909.700012,959.109985,959.109985,28053800
2017.10.1,959.97998,1048.390015,947.840027,1016.640015,1016.640015,31779700
2017.11.1,1017.210022,1062.375,1013.01001,1021.409973,1021.409973,24265500
2017.12.1,1015.799988,1078.48999,988.280029,1046.400024,1046.400024,28163700
2018.1.1,1048.339966,1186.890015,1045.22998,1169.939941,1169.939941,28734500
2018.2.1,1162.609985,1174,992.559998,1104.72998,1104.72998,42384100
2018.3.1,1107.869995,1177.050049,980.640015,1031.790039,1031.790039,45353300
2018.4.1,1022.820007,1094.165039,990.369995,1017.330017,1017.330017,41715900
2018.5.1,1013.659973,1110.75,1006.289978,1084.98999,1084.98999,31818700
2018.6.1,1099.349976,1186.286011,1096.01001,1115.650024,1115.650024,32096000
2018.7.1,1099,1273.890015,1093.800049,1217.26001,1217.26001,31940100
2018.8.1,1228,1256.5,1188.23999,1218.189941,1218.189941,28762400
2018.9.1,1204.27002,1212.98999,1146.910034,1193.469971,1193.469971,28847000
2018.10.1,1199.890015,1209.959961,995.830017,1076.77002,1076.77002,48494700
2018.11.1,1075.800049,1095.569946,996.02002,1094.430054,1094.430054,36735100
2018.12.1,1123.140015,1124.650024,970.109985,1035.609985,1035.609985,40257600
2019.1.1,1016.570007,1117.329956,1014.070007,1116.369995,1116.369995,30714000
2019.2.1,1112.400024,1146.849976,1104.890015,1145.98999,1145.98999,7570600